on_date,fii_purchase,fii_sales,fii_net,dii_purchase,dii_sales,dii_net,category
07-Jul-2023,"9,590.27","8,799.87",790.4,"6,244.19","9,208.42","-2,964.23",cash
06-Jul-2023,"12,338.00","9,696.90","2,641.10","8,247.10","10,598.80","-2,351.70",cash
05-Jul-2023,"8,742.30","7,139.20","1,603.10","7,983.80","8,422.80",-439,cash
04-Jul-2023,"8,783.66","6,649.33","2,134.33","7,026.14","7,811.62",-785.48,cash
03-Jul-2023,"7,533.91","5,537.99","1,995.92","7,031.90","7,369.70",-337.8,cash
30-Jun-2023,"19,439.74","13,042.61","6,397.13","10,469.81","9,272.17","1,197.64",cash
28-Jun-2023,"21,017.34","8,667.34","12,350.00","13,978.21","14,999.22","-1,021.01",cash
27-Jun-2023,"10,452.72","8,428.67","2,024.05","6,784.35","8,775.70","-1,991.35",cash
26-Jun-2023,"7,896.65","8,306.08",-409.43,"5,455.86","5,205.74",250.12,cash
23-Jun-2023,"6,263.33","6,608.14",-344.81,"6,694.19","7,378.20",-684.01,cash
22-Jun-2023,"8,947.66","9,640.94",-693.28,"7,147.83","6,928.41",219.42,cash
21-Jun-2023,"13,795.52","9,782.42","4,013.10","7,704.86","7,154.50",550.36,cash
20-Jun-2023,"11,733.88","13,676.50","-1,942.62","9,851.71","7,879.20","1,972.51",cash
19-Jun-2023,"8,354.90","9,385.80","-1,030.90","6,412.20","6,777.40",-365.2,cash
16-Jun-2023,"17,939.03","17,144.25",794.78,"7,945.59","7,264.26",681.33,cash
15-Jun-2023,"12,641.91","9,556.40","3,085.51","6,798.75","7,096.63",-297.88,cash
14-Jun-2023,"10,413.72","8,699.00","1,714.72","6,242.94","6,897.71",-654.77,cash
13-Jun-2023,"12,967.79","11,290.19","1,677.60","6,753.95","6,957.27",-203.32,cash
12-Jun-2023,"6,321.86","6,948.48",-626.62,"6,663.64","4,869.79","1,793.85",cash
09-Jun-2023,"13,631.62","13,940.59",-308.97,"6,234.12","4,988.61","1,245.51",cash
08-Jun-2023,"8,013.28","7,800.88",212.4,"5,461.85","5,866.86",-405.01,cash
07-Jun-2023,"9,569.91","8,187.34","1,382.57","5,931.80","5,539.50",392.3,cash
06-Jun-2023,"8,963.44","8,577.73",385.71,"5,946.73","6,435.75",-489.02,cash
05-Jun-2023,"7,740.87","8,441.85",-700.98,"7,460.68","6,264.70","1,195.98",cash
02-Jun-2023,"10,393.93","11,052.81",-658.88,"6,951.54","6,369.69",581.85,cash
01-Jun-2023,"8,751.66","8,822.73",-71.07,"5,715.08","5,226.15",488.93,cash
31-May-2023,"65,024.36","61,618.46","3,405.90","11,726.46","14,254.98","-2,528.52",cash
30-May-2023,"9,789.47","7,703.85","2,085.62","5,937.03","6,375.96",-438.93,cash
29-May-2023,"7,767.00","6,008.84","1,758.16","6,217.74","5,364.17",853.57,cash
26-May-2023,"8,203.32","7,853.17",350.15,"7,705.60","5,864.62","1,840.98",cash
25-May-2023,"8,521.07","7,931.97",589.1,"5,522.80","5,184.36",338.44,cash
24-May-2023,"8,548.49","7,362.65","1,185.84","5,880.82","5,579.89",300.93,cash
23-May-2023,"7,829.51","7,647.00",182.51,"5,543.09","5,145.80",397.29,cash
22-May-2023,"6,956.61","6,033.72",922.89,"5,486.82","4,882.25",604.57,cash
19-May-2023,"7,325.40","7,438.86",-113.46,"6,427.80","5,356.45","1,071.35",cash
18-May-2023,"7,731.46","6,761.28",970.18,"4,830.85","5,680.81",-849.96,cash
17-May-2023,"7,478.25","7,328.92",149.33,"6,046.80","6,250.67",-203.87,cash
16-May-2023,"7,783.16","6,376.30","1,406.86","6,138.61","7,024.78",-886.17,cash
15-May-2023,"7,676.34","5,991.05","1,685.29","5,505.55","5,314.35",191.2,cash
12-May-2023,"9,159.49","8,145.43","1,014.06","5,457.40","6,379.59",-922.19,cash
11-May-2023,"7,950.84","7,113.63",837.21,"7,026.38","7,226.47",-200.09,cash
